250.0 	    0.0 
300.0 	    0.0 
310.0 	   80.0 
320.0 	  156.0 
330.0 	  230.8 
340.0 	  304.9 
350.0 	  371.4 
360.0 	  418.8 
370.0 	  457.1 
380.0 	  489.6 
390.0 	  532.9 
400.0 	  566.4 
410.0 	  593.8 
420.0 	  625.3 
430.0 	  644.8 
440.0 	  669.1 
450.0 	  680.5 
460.0 	  723.1 
470.0 	  745.5 
480.0 	  764.8 
490.0 	  781.8 
500.0 	  810.8 
510.0 	  844.9 
520.0 	  858.8 
530.0 	  869.5 
540.0 	  901.0 
550.0 	  890.9 
560.0 	  943.6 
570.0 	  964.2 
580.0 	  969.0 
590.0 	  998.9 
600.0 	  999.4 
610.0 	 1008.1 
730.0 	 1008.1 
